,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
SOSTDC1,0.0,0.017,0.1,0.009,0.038,0.251,0.002,0.025,0.001,0.83,0.003,0.003,0.004,0.009,0.486,0.009
AIM2,0.023,0.001,0.0,0.04,0.0,0.0,0.685,0.003,0.544,0.001,0.296,0.332,0.159,0.096,0.0,0.028
DDX3Y,0.823,0.003,0.007,0.005,0.017,0.0,0.04,0.351,0.438,0.004,0.04,0.001,0.061,0.008,0.0,0.001
NELL1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S100A8,0.012,0.042,0.074,0.065,0.059,0.055,0.027,0.07,0.004,0.97,0.007,0.172,0.054,0.038,0.026,0.028
GHR,0.0,0.011,0.111,0.035,0.025,0.291,0.0,0.008,0.0,0.757,0.001,0.005,0.005,0.005,0.573,0.002
CABYR,0.0,0.0,0.002,0.0,0.007,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
VSNL1,0.004,0.025,0.052,0.061,0.042,0.291,0.022,0.026,0.005,0.913,0.01,0.059,0.024,0.031,0.257,0.021
CRYAB,0.001,0.03,0.05,0.043,0.011,0.129,0.003,0.023,0.001,0.94,0.004,0.104,0.022,0.017,0.278,0.064
ADAM23,0.0,0.0,0.004,0.0,0.003,0.967,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.256,0.0
FABP6,1.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.005,0.0,0.001,0.0,0.001,0.0,0.0,0.0
POPDC3,0.006,0.001,0.0,0.024,0.0,0.001,0.004,0.0,0.001,0.001,0.001,1.0,0.003,0.003,0.001,0.001
SLC34A2,0.05,0.035,0.011,0.015,0.012,0.017,0.068,0.039,0.044,0.027,0.055,0.055,0.039,0.045,0.024,0.988
ODAM,0.901,0.359,0.027,0.009,0.08,0.009,0.113,0.043,0.164,0.008,0.077,0.009,0.034,0.05,0.005,0.034
SLCO1B3,0.0,0.024,0.013,0.024,0.002,0.148,0.0,0.001,0.0,0.027,0.0,0.006,0.003,0.001,0.988,0.002
CXCL11,0.095,0.019,0.013,0.003,0.037,0.009,0.994,0.019,0.021,0.007,0.013,0.006,0.011,0.019,0.003,0.012
RNF128,0.0,0.002,0.006,0.396,0.0,0.044,0.0,0.001,0.0,0.284,0.043,0.053,0.03,0.002,0.869,0.009
PON3,0.484,0.805,0.068,0.022,0.078,0.012,0.124,0.121,0.133,0.037,0.096,0.061,0.126,0.098,0.008,0.135
HBB,0.05,0.13,0.877,0.174,0.083,0.116,0.04,0.125,0.072,0.187,0.131,0.119,0.168,0.119,0.136,0.107
LRAP,0.218,0.001,0.0,0.009,0.0,0.0,0.002,0.002,0.972,0.0,0.078,0.002,0.009,0.025,0.0,0.001
ZIC1,0.796,0.016,0.001,0.125,0.01,0.001,0.059,0.019,0.398,0.004,0.066,0.227,0.125,0.341,0.0,0.015
TNNT1,0.03,0.073,0.075,0.162,0.06,0.026,0.049,0.95,0.049,0.109,0.076,0.099,0.122,0.076,0.021,0.045
IL8,0.034,0.048,0.973,0.017,0.163,0.08,0.047,0.065,0.011,0.085,0.014,0.015,0.027,0.034,0.03,0.014
S100A12,0.008,0.037,0.365,0.018,0.115,0.052,0.016,0.898,0.007,0.2,0.019,0.009,0.033,0.025,0.02,0.012
CBR3,0.0,0.001,0.008,0.0,0.007,0.997,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.074,0.0
NEFL,0.0,0.003,0.002,0.031,0.0,0.062,0.001,0.001,0.0,0.012,0.001,0.074,0.004,0.003,0.995,0.005
IL1R2,0.127,0.076,0.05,0.131,0.056,0.049,0.132,0.097,0.095,0.085,0.096,0.188,0.919,0.113,0.031,0.08
MME,0.001,0.002,0.0,0.959,0.0,0.001,0.001,0.002,0.006,0.003,0.009,0.283,0.025,0.006,0.001,0.004
CYP2C18,0.024,0.059,0.157,0.02,0.062,0.063,0.043,0.953,0.036,0.164,0.086,0.017,0.049,0.051,0.062,0.091
LEPREL1,0.008,0.024,0.035,0.046,0.026,0.156,0.008,0.013,0.004,0.053,0.011,0.037,0.018,0.021,0.983,0.013
CH25H,0.042,0.066,0.033,0.138,0.05,0.191,0.894,0.055,0.061,0.112,0.084,0.212,0.09,0.111,0.177,0.108
CXCL13,0.053,0.01,0.004,0.003,0.016,0.006,0.998,0.012,0.011,0.006,0.006,0.016,0.009,0.015,0.002,0.009
WNT5A,0.0,0.003,0.022,0.007,0.007,0.95,0.0,0.002,0.0,0.014,0.001,0.001,0.001,0.002,0.312,0.001
CCNA1,0.0,0.002,0.007,0.002,0.004,0.09,0.0,0.001,0.0,0.009,0.0,0.001,0.0,0.001,0.996,0.001
CA9,0.298,0.025,0.028,0.03,0.005,0.0,0.002,0.042,0.037,0.006,0.029,0.025,0.951,0.02,0.0,0.009
