,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CTSE,0.0,0.447,0.0,0.0,0.0,0.0,0.647,0.379,0.255,0.322,0.0,0.0,0.0,0.262,0.0,0.0
FABP4,0.0,0.0,0.249,0.479,0.0,0.413,0.0,0.453,0.404,0.0,0.378,0.0,0.0,0.0,0.0,0.165
MAGEB2,0.0,0.0,0.463,0.523,0.0,0.254,0.175,0.0,0.435,0.0,0.0,0.193,0.0,0.437,0.0,0.0
FGFBP1,0.389,0.0,0.462,0.0,0.0,0.38,0.354,0.421,0.0,0.0,0.0,0.421,0.0,0.0,0.0,0.11
TUBB2B,0.544,0.0,0.0,0.0,0.0,0.438,0.0,0.0,0.428,0.088,0.394,0.0,0.404,0.055,0.0,0.0
AGR2,0.0,0.0,0.0,0.183,0.218,0.0,0.445,0.275,0.32,0.507,0.0,0.237,0.0,0.298,0.375,0.0
CXCL1,0.0,0.0,0.0,0.407,0.0,0.169,0.436,0.503,0.362,0.0,0.0,0.0,0.0,0.0,0.481,0.0
DLK1,0.0,0.0,0.524,0.293,0.161,0.344,0.0,0.0,0.321,0.0,0.423,0.0,0.373,0.0,0.258,0.092
NQO1,0.294,0.388,0.089,0.0,0.0,0.0,0.0,0.0,0.216,0.379,0.0,0.181,0.312,0.659,0.0,0.0
PDZK1IP1,0.0,0.0,0.0,0.191,0.287,0.0,0.471,0.564,0.0,0.233,0.0,0.0,0.0,0.406,0.349,0.0
LCN2,0.222,0.065,0.0,0.311,0.265,0.0,0.396,0.359,0.049,0.496,0.0,0.16,0.0,0.27,0.383,0.0
DKK1,0.0,0.0,0.386,0.067,0.0,0.225,0.0,0.275,0.573,0.363,0.0,0.0,0.363,0.0,0.359,0.0
TMSL8,0.0,0.0,0.0,0.49,0.416,0.376,0.0,0.0,0.0,0.101,0.568,0.0,0.335,0.0,0.0,0.0
